Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Yield,drought_index
31.0,136.0,197.0,31.11047251,83.34010951,5.653776058,71.43001582,Grapes,7.313886831633462,0.4355378078599539
3.0,63.0,16.0,24.38041875,61.18458224,6.868881708,53.13946695,Lentil,6.90875477931522,0.4588005891807689
39.0,73.0,24.0,25.65842532,61.18235808,7.22405917,69.28607828,Blackgram,7.170888478512505,0.37032584255390394
60.0,48.0,39.0,24.28209415,80.30025587,7.042299069,231.0863347,Rice,6.431331081933479,0.1050780184837525
4.0,24.0,43.0,22.40423537,88.1508343,7.199504273,109.8695196,Pomegranate,8.77971129020447,0.20391675006432658
25.0,22.0,25.0,33.56150184,45.53556603,5.977413803,95.70525913,Mango,5.993961427306569,0.3506756278764724
1.0,8.0,26.0,27.5136304,94.18955816,5.562911913,156.6732553,Coconut,6.803505257608338,0.17561153207393582
102.0,53.0,21.0,23.03814028,76.11021529,6.913678684,91.49697481,Cotton,8.497194544909547,0.251791278622298
23.0,58.0,19.0,24.17093241,58.25204566,5.243634849,59.18953429,MothBeans,8.03947991910045,0.4083649701903466
17.0,58.0,20.0,28.06642822,85.91625451,6.42937879,39.23831035,MungBean,7.3783837129967145,0.7152812637062795
19.0,72.0,15.0,28.83600962,69.76112921,6.890760124,44.08562546,Lentil,7.346655163176539,0.654090972115678
6.0,139.0,199.0,25.67385024,81.6212135,6.29099842,74.10919422,Grapes,8.474285690404962,0.3464327268263162
7.0,77.0,18.0,20.5591255,60.54880693,6.655918078,191.0895109,PigeonPeas,8.434028950155469,0.1075889796467322
107.0,72.0,45.0,28.14938935,81.54448882,5.790768046,91.40508414,Banana,7.313886831633462,0.307963059295537
83.0,57.0,19.0,25.73044432,70.74739256,6.877869005,98.73771338,Maize,8.566173813637858,0.26059388491577057
119.0,72.0,55.0,25.99069521,83.33983116,6.220643671,112.0777152,Banana,9.105090961257085,0.23189886732881052
82.0,18.0,48.0,29.09588297,94.16748386,6.159050816,26.70581328,Muskmelon,8.81358720447004,1.0894962326758633
39.0,138.0,203.0,21.19339319,82.33098331,6.399433771,74.62834921,Grapes,8.174984532943087,0.2839858232361957
22.0,60.0,18.0,19.59221047,61.28633405,6.74398035,41.7704893,Lentil,7.719129840906732,0.46904431318954065
99.0,6.0,47.0,24.13078816,84.84494575,6.649086972,51.19470197,Watermelon,9.259225769705994,0.47135323044613225
86.0,79.0,45.0,27.81251452,82.69285419,5.80766417,99.20961514,Banana,6.478509642208569,0.2803409173389985
18.0,125.0,204.0,22.35548159,94.47811755,6.046673619,116.7366261,Apple,7.719129840906732,0.1915035780538544
19.0,21.0,34.0,30.01592643,53.19212381,5.074272692,97.72843182,Mango,5.993961427306569,0.30713606949319655
14.0,58.0,17.0,30.53684308,59.96664731,4.605700542,33.48919022,MothBeans,7.650168700845001,0.9118417874626527
105.0,77.0,52.0,29.16226551,76.16151562,5.816622479,100.0075679,Banana,7.244941546337007,0.2916005870300141
12.0,20.0,10.0,24.45132792,93.10527686,6.528354932,109.4711098,Orange,7.762596048540069,0.2233587287316093
37.0,18.0,12.0,11.82768186,90.19147747,7.401121811,106.6955204,Orange,6.53813982376767,0.11085453086080505
7.0,141.0,195.0,23.8812458,93.45067555,5.514253142,104.9116663,Apple,6.133398042996649,0.22763193684708144
89.0,52.0,42.0,23.09433785,81.45139295,6.14132902,196.6587013,Jute,6.2166061010848646,0.11743359279890486
15.0,36.0,27.0,27.78912455,53.96886679,5.643710216,91.01152997,Mango,9.04793908261736,0.3053363080052245
82.0,40.0,40.0,23.83067496,84.81360127,6.271478838,267.9761948,Rice,7.937731775260109,0.08892832804382637
13.0,132.0,203.0,23.60115364,82.48336987,6.423216506,73.23901752,Grapes,8.37816098272068,0.32224836481910135
57.0,57.0,75.0,17.09104223,18.25142068,7.785039076,87.27444866,ChickPea,7.696667081526462,0.19583099624752978
44.0,56.0,49.0,39.23342464,91.25589286,6.519779583,64.4478499,Papaya,6.478509642208569,0.608762351184541
61.0,44.0,17.0,26.10018422,71.57476937,6.931756558,102.2662445,Maize,6.716594773520978,0.2552179787676453
95.0,26.0,45.0,29.91690582,94.55695552,6.117530021,28.16057247,Muskmelon,7.615791072035833,1.0623685239796659
44.0,64.0,54.0,29.80744318,91.38048469,6.74274935,232.7046126,Papaya,6.2166061010848646,0.12809132937109252
89.0,47.0,38.0,25.52468965,72.24850829,6.002524871,151.8869972,Jute,6.85751406254539,0.16805052518557193
89.0,60.0,19.0,25.19192419,66.6902901,5.913664501,78.06639649,Maize,7.946617563244473,0.322698693925241
2.0,131.0,199.0,22.47420512,91.22759742,6.017370134,124.2179699,Apple,7.919719760924575,0.18092555478312278
20.0,60.0,22.0,29.65052947,42.89833235,6.876572503,186.9226052,PigeonPeas,7.783640596221253,0.15862463203254
107.0,31.0,31.0,23.17124551,52.97841162,6.766184468,153.1201644,Coffee,7.479299637782834,0.15132719847371537
37.0,137.0,199.0,22.63946441,90.18451645,5.697945522,108.3405879,Apple,7.719129840906732,0.2089656780227823
32.0,20.0,35.0,26.52166434,96.96637916,5.588655387,144.6261698,Coconut,9.13194630454817,0.18338081119649613
10.0,79.0,20.0,24.98287462,66.895409,6.379881442,38.21370568,Lentil,7.824445930877619,0.6537673897074493
7.0,31.0,27.0,31.32863689,47.59319575,6.524114355,94.67344737,Mango,7.244941546337007,0.33091260281516116
115.0,9.0,52.0,29.06785065,90.97685539,6.019372459,29.1194739,Muskmelon,8.476996001664824,0.9982271911862298
75.0,56.0,44.0,25.2746335,73.7459581,6.109478059,168.0432282,Jute,6.704414354964107,0.15040554605636852
120.0,48.0,16.0,22.46054478,75.40989245,7.456971816,71.85436078,Cotton,6.111467339502679,0.3125842959711618
5.0,8.0,8.0,11.82768186,92.22706805,6.562594972,112.7715925,Orange,5.993961427306569,0.10488174900031835
39.0,30.0,38.0,20.12644921,87.59629625,6.965156738,108.065579,Pomegranate,8.294299608857235,0.18624292206991805
52.0,63.0,19.0,29.58949031,68.32176769,6.928898659,67.53021213,Blackgram,7.170888478512505,0.4381667015743511
79.0,42.0,37.0,24.87300744,82.84022551,6.587918708,267.9761948,Rice,6.621405651764134,0.09281797384142802
3.0,49.0,18.0,27.91095209,64.70930606,4.603563116,32.67891866,MothBeans,8.716207971151853,0.8540965621247099
102.0,24.0,54.0,27.72338349,90.93897939,6.698468621,22.81863447,Muskmelon,8.622633703874234,1.214944895773623
88.0,6.0,47.0,25.86475496,86.67468041,6.662244646,41.16554802,Watermelon,7.244941546337007,0.6283107160665194
33.0,59.0,19.0,23.19305333,62.74710773,7.641024177,49.55213308,Lentil,6.90875477931522,0.4680535808191179
29.0,72.0,24.0,23.17409556,36.67847052,6.962386495,162.5931264,PigeonPeas,8.434028950155469,0.14252813800728245
37.0,135.0,204.0,11.82768186,80.2827185,5.510924849,74.10225057,Grapes,7.538494999413465,0.15961299106875254
14.0,55.0,15.0,27.33580911,55.27755933,8.050304395,73.44775287,MothBeans,8.160803920954665,0.372180332796044
19.0,17.0,39.0,24.72485577,85.56083187,6.728599215,111.2787584,Pomegranate,9.510519035757246,0.2221884582761315
87.0,48.0,38.0,23.81579631,80.94023552,7.161865733,190.312216,Jute,7.467942332285852,0.1251406599603075
118.0,21.0,51.0,24.42998931,86.33904774,6.678805092,48.58241822,Watermelon,7.484930283289661,0.5028565929827327
116.0,38.0,34.0,23.29250318,50.04557009,6.020947179,183.468585,Coffee,7.3783837129967145,0.12695635701736316
91.0,41.0,37.0,24.48556447,83.20630007,6.132570523,192.2316221,Jute,7.048386408721883,0.1273753204662067
32.0,143.0,203.0,23.83053666,90.84422164,6.406818518,109.5966791,Apple,6.947937068614969,0.2174384922382709
67.0,60.0,38.0,24.79853023,78.53037059,7.16214284,162.2847429,Jute,8.35490952835879,0.15280875937766245
34.0,11.0,10.0,31.75048899,94.59551226,7.36220835,115.1989301,Orange,6.066108090103747,0.2756144432911175
12.0,19.0,31.0,27.25373364,52.66319725,5.566704378,91.87312479,Mango,7.244941546337007,0.29664533234641866
25.0,57.0,19.0,17.15432954,19.87070659,5.566522896,87.99669731,KidneyBeans,7.824445930877619,0.19494287924941409
92.0,7.0,45.0,26.70607759,81.14149505,6.944640222,51.51033554,Watermelon,7.410347097821024,0.5184605633965822
30.0,75.0,25.0,30.33276599,42.35249879,6.446091759,149.299952,PigeonPeas,6.504288173536645,0.20316661580687134
129.0,52.0,16.0,23.65724079,84.47601498,6.486068274,88.54479121,Cotton,7.00397413672268,0.2671782322149339
19.0,7.0,9.0,27.255435,91.71369387,6.969883483,101.139435,Orange,7.307202314764738,0.2694837577182942
120.0,20.0,45.0,25.66576039,88.6984228,6.114128685,54.22722466,Watermelon,7.484930283289661,0.4733002757598068
89.0,11.0,47.0,29.78714005,94.65343534,6.327822962,27.8659442,Muskmelon,6.803505257608338,1.0689442218617002
110.0,39.0,18.0,24.54795322,75.39752705,7.766259769,63.88079866,Cotton,7.170888478512505,0.3842774938806193
27.0,59.0,22.0,21.81167649,23.20591245,5.794158504,130.0608093,KidneyBeans,7.762596048540069,0.16770368111436135
36.0,65.0,80.0,18.2872007,16.67921616,6.051091339,74.87445574,ChickPea,6.311734809152915,0.24423817865280445
55.0,78.0,21.0,33.39438752,62.93692886,6.602888249,63.57445989,Blackgram,5.5254529391317835,0.5252799248712139
2.0,72.0,18.0,26.57597546,60.97876599,7.836719564,50.89110726,Lentil,1.3862943611198906,0.5222125610080088
67.0,43.0,38.0,25.21622704,70.88259632,7.299304715,195.8645552,Jute,7.550135342488429,0.1287431869077278
9.0,16.0,36.0,23.77989026,92.93386903,5.893332378,106.977723,Pomegranate,7.937731775260109,0.22228824460749755
93.0,22.0,48.0,29.12533739,91.52291141,6.776987974,21.90440445,Muskmelon,6.089044875446846,1.3296566653152457
16.0,18.0,26.0,28.43647052,91.81320717,5.568365926,145.5414413,Coconut,7.244941546337007,0.19538401065735603
85.0,89.0,51.0,29.21144871,84.70189923,6.158164422,108.5501443,Banana,6.90875477931522,0.269105572320358
85.0,9.0,53.0,28.20619412,92.86798698,6.447662945,28.78654515,Muskmelon,8.74257423767064,0.9798395036023142
92.0,75.0,45.0,29.01207743,77.95192527,5.674403359,90.43495443,Banana,7.601402334583733,0.32080601587794644
74.0,43.0,23.0,25.95263264,61.89082199,6.325235159,99.57981207,Maize,7.23561914106675,0.2606214261496124
12.0,67.0,23.0,25.62896213,63.14909763,6.585020303,45.49683991,Lentil,6.68586094706836,0.5633130163559721
38.0,141.0,198.0,13.05809741,80.28297993,5.757009965,70.75633584,Grapes,7.249925536717988,0.1845502208831522
113.0,15.0,29.0,27.09617155,63.55324262,6.779230041,190.2440566,Coffee,8.517393171418904,0.14242847862284133
42.0,67.0,77.0,18.99424448,15.9362937,7.114405288,78.69707199,ChickPea,8.268988209506656,0.24135897305048404
22.0,54.0,20.0,28.56149805,83.63802195,6.689825155,41.013132,MungBean,7.601402334583733,0.6963988520319787
22.0,67.0,22.0,29.03017561,64.49166566,7.475926645,54.9393771,Lentil,8.699681400989514,0.5284037995530161
44.0,58.0,18.0,28.03644051,65.06601664,6.814410928,72.49507741,Blackgram,7.244941546337007,0.38673578272868064
100.0,74.0,52.0,25.43480512,81.53977797,5.837258235,96.47800391,Banana,7.601402334583733,0.26363320224878056
81.0,56.0,36.0,23.39605743,72.60512854,7.097586415,174.7876411,Jute,7.0909098220799835,0.13385418603639165
2.0,40.0,27.0,29.73770045,47.54885174,5.954626604,90.09586854,Mango,6.68586094706836,0.33006730417939906
27.0,59.0,20.0,28.00937423,52.60950014,4.603563116,36.01203025,MothBeans,9.093918908958932,0.7777782598697616
4.0,46.0,15.0,31.01274943,62.40392519,4.603563116,63.77192383,MothBeans,8.006700845440367,0.48630725815657
93.0,22.0,52.0,26.58740671,81.32563243,6.932739726,41.87540028,Watermelon,7.984803389734406,0.6349170760368629
25.0,62.0,21.0,26.73433965,68.13999721,7.040056094,67.15096376,Blackgram,7.280008252884188,0.39812294789347
40.0,22.0,8.0,24.53610067,91.90997228,6.488221135,115.9787989,Orange,7.601402334583733,0.21155677503644532
111.0,6.0,53.0,26.4930645,88.59143088,6.313512999,46.06382209,Watermelon,7.213031659834869,0.5751382167655601
32.0,137.0,204.0,22.86006627,93.12859895,5.824151693,117.7296726,Apple,7.450660796211539,0.1941742108272733
14.0,140.0,197.0,23.35225078,90.90054697,6.071255131,113.0381382,Apple,7.650168700845001,0.20658736201596536
118.0,33.0,30.0,24.13179691,67.22512329,6.362607851,173.3228386,Coffee,6.329720905522696,0.13923033515681005
23.0,70.0,15.0,34.6008247,63.11296779,7.403623355,60.41790253,Blackgram,8.228443883004033,0.5726915904949255
89.0,22.0,52.0,24.89681131,86.10782926,6.217300786,53.14626213,Watermelon,7.266128779556451,0.4684583695541152
120.0,60.0,15.0,22.31871914,83.86129998,7.288377241,65.35747011,Cotton,6.7464121285733745,0.34148688893590246
73.0,45.0,21.0,24.60532218,73.58868502,6.636803223,96.59195302,Maize,8.24301946898925,0.25473470002576676
20.0,72.0,19.0,32.47648301,64.34848735,7.397190844,65.820457,Blackgram,8.556606193773073,0.49341017193280656
22.0,123.0,204.0,32.44577836,83.88504863,5.896343436,68.73932528,Grapes,7.244941546337007,0.47201188290860513
30.0,75.0,81.0,19.41789736,16.80472243,6.408437886,68.4951189,ChickPea,6.111467339502679,0.28349315497231836
25.0,130.0,197.0,39.70772192,82.68593454,5.554831977,74.91506217,Grapes,7.496097345175956,0.5300365609334131
28.0,27.0,32.0,28.94099669,93.00109012,5.764615485,191.7723087,Coconut,6.93828448401696,0.15091332468529053
88.0,78.0,45.0,29.10403455,79.19588629,6.324270089,92.07835761,Banana,8.987321812850125,0.31607899296064795
32.0,57.0,22.0,28.6899851,87.50436797,6.769415888,44.56598352,MungBean,7.601402334583733,0.6437642082034849
2.0,51.0,17.0,25.87682261,45.96341933,5.838508699,38.53254678,MothBeans,8.188966863648876,0.6715575472087814
100.0,46.0,18.0,24.18586246,76.04203958,6.431689506,69.08056728,Cotton,6.913737350659685,0.3501109415976251
31.0,75.0,18.0,15.46789263,21.43780702,5.824208309,88.88796102,KidneyBeans,7.3783837129967145,0.1740156085342033
111.0,41.0,18.0,23.64328417,78.1258666,6.10539819,80.96157332,Cotton,6.154858094016418,0.29203093761073284
95.0,14.0,50.0,26.6333118,84.31756844,6.560443519,56.31866159,Watermelon,7.280697195384741,0.4729038482690079
40.0,6.0,32.0,26.07010807,96.7036223,5.981169595,143.533473,Coconut,6.7580945044277305,0.1816308595012098
7.0,126.0,203.0,16.76201707,82.00335557,5.662140095,73.28712806,Grapes,8.268988209506656,0.22871706821407717
13.0,121.0,196.0,22.20700989,93.50574163,6.443382913,120.1593771,Apple,7.855932199718614,0.18481295779080623
68.0,69.0,52.0,25.65492304,92.74501561,6.813383387,52.95477913,Papaya,8.824824939175638,0.48446851174989153
64.0,45.0,43.0,25.62980105,83.52842314,5.534878156,209.9001977,Rice,8.38958706681109,0.12210470180409436
110.0,28.0,46.0,24.29105004,88.04541346,6.49889585,51.26046418,Watermelon,7.484930283289661,0.47387495263335416
91.0,21.0,26.0,26.33377983,57.36469955,7.261313694,191.6549412,Coffee,6.928537818164665,0.13740203964345263
15.0,133.0,199.0,23.99686172,91.61001707,5.824778636,117.6102915,Apple,7.565793282428515,0.20403709073333628
37.0,124.0,195.0,18.70679077,83.4795292,6.209928251,66.5964488,Grapes,8.517393171418904,0.28089772208981545
39.0,16.0,27.0,35.53845018,52.94641947,4.934964765,91.54560427,Mango,6.928537818164665,0.3882048784265232
7.0,15.0,32.0,25.03512351,95.89739958,6.182232762,174.796583,Coconut,6.7464121285733745,0.14322433012645192
28.0,79.0,16.0,24.70626432,60.26854183,6.052184881,53.12442925,Lentil,6.16541785423142,0.46506408942453453
21.0,39.0,20.0,28.14448546,82.1193047,7.064782138,46.75690086,MungBean,7.696667081526462,0.601932226822543
83.0,15.0,49.0,28.92705913,91.39356832,6.438008153,23.20076686,Muskmelon,7.5126175446745105,1.2468147838425307
31.0,13.0,33.0,29.69952329,95.21224392,6.342463714,148.3003692,Coconut,7.576097340623111,0.20026601045034575
20.0,23.0,11.0,31.8520694,90.12220323,6.407715561,109.9455062,Orange,7.459338895220296,0.2897077879578031
118.0,12.0,47.0,27.96872279,92.17444796,6.010739645,28.94766949,Muskmelon,7.479299637782834,0.9661821926632125
37.0,24.0,13.0,19.14381903,90.71037456,7.8546243,108.0230792,Orange,6.913737350659685,0.17721971239853163
7.0,74.0,17.0,22.47253208,62.56532471,5.667419697,96.74706956,PigeonPeas,8.716207971151853,0.23228126887854017
26.0,126.0,195.0,21.41363812,92.99124545,5.878568981,118.3979065,Apple,6.2166061010848646,0.1808616279730536
31.0,76.0,82.0,20.8248451,17.85057083,7.599279991,79.20509212,ChickPea,6.68586094706836,0.2629230588586401
44.0,76.0,22.0,27.26458947,68.01232937,7.775306272,68.91754359,Blackgram,8.160803920954665,0.39561174188454395
109.0,29.0,28.0,23.26316991,60.5160021,6.724688503,194.1755471,Coffee,6.68586094706836,0.11980483771636533
12.0,63.0,17.0,18.358923,19.37703396,5.717143397,138.414764,KidneyBeans,8.77971129020447,0.13263702850856018
14.0,21.0,35.0,29.52501367,91.91185319,6.121005506,194.3100272,Coconut,6.7580945044277305,0.15194796734854513
57.0,58.0,77.0,18.72649425,17.58406365,7.978996755,81.20176515,ChickPea,6.90875477931522,0.230616837122953
22.0,42.0,22.0,25.54249137,56.96640758,7.887658711,48.46797044,MothBeans,7.00397413672268,0.5269973372693595
11.0,44.0,17.0,26.34043268,55.59160391,8.016210782,35.1051197,MothBeans,8.665785595466064,0.7503302338119273
22.0,133.0,201.0,23.81995682,80.12211649,6.00299607,67.2739864,Grapes,8.11701408773731,0.35407381205016963
42.0,62.0,75.0,18.17912258,18.90426935,7.010570541,81.84997529,ChickPea,8.517393171418904,0.22210296965110998
0.0,23.0,15.0,22.56664172,93.37488907,7.598729065,109.8585753,Orange,6.2166061010848646,0.20541538661248093
9.0,56.0,17.0,26.13708256,66.7729209,6.261937875,46.48280681,Lentil,7.601402334583733,0.5622957034675902
58.0,71.0,15.0,27.82592799,67.5861883,6.919243702,74.01229707,Blackgram,8.086717920303906,0.3759635775109495
109.0,79.0,45.0,27.66752761,79.68542782,6.490074429,108.66464,Banana,6.90875477931522,0.2546138983891527
34.0,15.0,34.0,27.05826457,91.10510371,5.677282678,224.7006953,Coconut,8.328692583545568,0.12041914037101693
29.0,11.0,8.0,23.13338811,91.94670335,7.639788459,104.4224145,Orange,6.803505257608338,0.22153661374861844
71.0,46.0,40.0,20.2801937,82.1235421,7.236705436,191.9535738,Rice,6.2166061010848646,0.10565155572499942
6.0,48.0,24.0,28.6362812,84.61431076,6.790736339,48.48319335,MungBean,7.783640596221253,0.5906434625163477
0.0,26.0,31.0,25.0707247,95.02156793,5.547933273,192.9036306,Coconut,8.39185670010494,0.1299650225385667
39.0,139.0,201.0,40.78881819,81.01783402,5.539980812,68.68895899,Grapes,8.167919362957816,0.5938191346006569
40.0,55.0,18.0,30.38257873,40.5926071,7.115994051,47.95406479,MothBeans,8.160803920954665,0.6335767125626439
27.0,24.0,29.0,26.61423461,96.96637916,6.142010637,191.006688,Coconut,8.519390774959724,0.13933666348168203
37.0,74.0,15.0,24.92360104,18.22590825,5.582178402,62.7089169,KidneyBeans,7.467942332285852,0.3974490753168392
18.0,30.0,29.0,26.7627493,92.86056895,6.420018717,224.5903664,Coconut,7.937731775260109,0.1191624989432689
32.0,43.0,22.0,31.99928579,54.1077461,5.270749441,71.6266696,MothBeans,8.31898612539206,0.44675099322965717
93.0,81.0,50.0,27.71822477,76.57853189,6.036079266,102.2099836,Banana,6.111467339502679,0.2711890149181876
13.0,23.0,8.0,23.96147583,90.26408017,7.365338111,102.6958703,Orange,7.57095858316901,0.2333246289034736
